index,Country Code,EEUU,asilo+EEUU,asilo+españa,emigrar,inmigrar,inmigrar+EEUU,inmigrar+españa,isPartial,word
2014-06-22,PA,,,,,,,45.0,False,inmigrar+españa
2014-06-29,PA,,,,,,,28.0,False,inmigrar+españa
2014-07-06,PA,,,,,,,26.0,False,inmigrar+españa
2014-07-13,PA,,,,,,,33.0,False,inmigrar+españa
2014-07-20,PA,,,,,,,26.0,False,inmigrar+españa
2014-07-27,PA,,,,,,,26.0,False,inmigrar+españa
2014-08-03,PA,,,,,,,24.0,False,inmigrar+españa
2014-08-10,PA,,,,,,,22.0,False,inmigrar+españa
2014-08-17,PA,,,,,,,34.0,False,inmigrar+españa
2014-08-24,PA,,,,,,,30.0,False,inmigrar+españa
2014-08-31,PA,,,,,,,29.0,False,inmigrar+españa
2014-09-07,PA,,,,,,,29.0,False,inmigrar+españa
2014-09-14,PA,,,,,,,20.0,False,inmigrar+españa
2014-09-21,PA,,,,,,,25.0,False,inmigrar+españa
2014-09-28,PA,,,,,,,25.0,False,inmigrar+españa
2014-10-05,PA,,,,,,,27.0,False,inmigrar+españa
2014-10-12,PA,,,,,,,31.0,False,inmigrar+españa
2014-10-19,PA,,,,,,,28.0,False,inmigrar+españa
2014-10-26,PA,,,,,,,29.0,False,inmigrar+españa
2014-11-02,PA,,,,,,,32.0,False,inmigrar+españa
2014-11-09,PA,,,,,,,33.0,False,inmigrar+españa
2014-11-16,PA,,,,,,,30.0,False,inmigrar+españa
2014-11-23,PA,,,,,,,34.0,False,inmigrar+españa
2014-11-30,PA,,,,,,,22.0,False,inmigrar+españa
2014-12-07,PA,,,,,,,24.0,False,inmigrar+españa
2014-12-14,PA,,,,,,,20.0,False,inmigrar+españa
2014-12-21,PA,,,,,,,18.0,False,inmigrar+españa
2014-12-28,PA,,,,,,,21.0,False,inmigrar+españa
2015-01-04,PA,,,,,,,24.0,False,inmigrar+españa
2015-01-11,PA,,,,,,,26.0,False,inmigrar+españa
2015-01-18,PA,,,,,,,23.0,False,inmigrar+españa
2015-01-25,PA,,,,,,,27.0,False,inmigrar+españa
2015-02-01,PA,,,,,,,23.0,False,inmigrar+españa
2015-02-08,PA,,,,,,,24.0,False,inmigrar+españa
2015-02-15,PA,,,,,,,28.0,False,inmigrar+españa
2015-02-22,PA,,,,,,,23.0,False,inmigrar+españa
2015-03-01,PA,,,,,,,22.0,False,inmigrar+españa
2015-03-08,PA,,,,,,,26.0,False,inmigrar+españa
2015-03-15,PA,,,,,,,21.0,False,inmigrar+españa
2015-03-22,PA,,,,,,,30.0,False,inmigrar+españa
2015-03-29,PA,,,,,,,22.0,False,inmigrar+españa
2015-04-05,PA,,,,,,,22.0,False,inmigrar+españa
2015-04-12,PA,,,,,,,26.0,False,inmigrar+españa
2015-04-19,PA,,,,,,,23.0,False,inmigrar+españa
2015-04-26,PA,,,,,,,24.0,False,inmigrar+españa
2015-05-03,PA,,,,,,,22.0,False,inmigrar+españa
2015-05-10,PA,,,,,,,25.0,False,inmigrar+españa
2015-05-17,PA,,,,,,,23.0,False,inmigrar+españa
2015-05-24,PA,,,,,,,27.0,False,inmigrar+españa
2015-05-31,PA,,,,,,,22.0,False,inmigrar+españa
2015-06-07,PA,,,,,,,28.0,False,inmigrar+españa
2015-06-14,PA,,,,,,,25.0,False,inmigrar+españa
2015-06-21,PA,,,,,,,24.0,False,inmigrar+españa
2015-06-28,PA,,,,,,,26.0,False,inmigrar+españa
2015-07-05,PA,,,,,,,23.0,False,inmigrar+españa
2015-07-12,PA,,,,,,,25.0,False,inmigrar+españa
2015-07-19,PA,,,,,,,24.0,False,inmigrar+españa
2015-07-26,PA,,,,,,,21.0,False,inmigrar+españa
2015-08-02,PA,,,,,,,19.0,False,inmigrar+españa
2015-08-09,PA,,,,,,,33.0,False,inmigrar+españa
2015-08-16,PA,,,,,,,32.0,False,inmigrar+españa
2015-08-23,PA,,,,,,,29.0,False,inmigrar+españa
2015-08-30,PA,,,,,,,27.0,False,inmigrar+españa
2015-09-06,PA,,,,,,,26.0,False,inmigrar+españa
2015-09-13,PA,,,,,,,24.0,False,inmigrar+españa
2015-09-20,PA,,,,,,,23.0,False,inmigrar+españa
2015-09-27,PA,,,,,,,26.0,False,inmigrar+españa
2015-10-04,PA,,,,,,,28.0,False,inmigrar+españa
2015-10-11,PA,,,,,,,27.0,False,inmigrar+españa
2015-10-18,PA,,,,,,,30.0,False,inmigrar+españa
2015-10-25,PA,,,,,,,30.0,False,inmigrar+españa
2015-11-01,PA,,,,,,,29.0,False,inmigrar+españa
2015-11-08,PA,,,,,,,35.0,False,inmigrar+españa
2015-11-15,PA,,,,,,,31.0,False,inmigrar+españa
2015-11-22,PA,,,,,,,29.0,False,inmigrar+españa
2015-11-29,PA,,,,,,,29.0,False,inmigrar+españa
2015-12-06,PA,,,,,,,27.0,False,inmigrar+españa
2015-12-13,PA,,,,,,,26.0,False,inmigrar+españa
2015-12-20,PA,,,,,,,30.0,False,inmigrar+españa
2015-12-27,PA,,,,,,,22.0,False,inmigrar+españa
2016-01-03,PA,,,,,,,22.0,False,inmigrar+españa
2016-01-10,PA,,,,,,,24.0,False,inmigrar+españa
2016-01-17,PA,,,,,,,19.0,False,inmigrar+españa
2016-01-24,PA,,,,,,,21.0,False,inmigrar+españa
2016-01-31,PA,,,,,,,22.0,False,inmigrar+españa
2016-02-07,PA,,,,,,,24.0,False,inmigrar+españa
2016-02-14,PA,,,,,,,21.0,False,inmigrar+españa
2016-02-21,PA,,,,,,,18.0,False,inmigrar+españa
2016-02-28,PA,,,,,,,25.0,False,inmigrar+españa
2016-03-06,PA,,,,,,,23.0,False,inmigrar+españa
2016-03-13,PA,,,,,,,21.0,False,inmigrar+españa
2016-03-20,PA,,,,,,,22.0,False,inmigrar+españa
2016-03-27,PA,,,,,,,22.0,False,inmigrar+españa
2016-04-03,PA,,,,,,,19.0,False,inmigrar+españa
2016-04-10,PA,,,,,,,26.0,False,inmigrar+españa
2016-04-17,PA,,,,,,,25.0,False,inmigrar+españa
2016-04-24,PA,,,,,,,21.0,False,inmigrar+españa
2016-05-01,PA,,,,,,,24.0,False,inmigrar+españa
2016-05-08,PA,,,,,,,23.0,False,inmigrar+españa
2016-05-15,PA,,,,,,,21.0,False,inmigrar+españa
2016-05-22,PA,,,,,,,26.0,False,inmigrar+españa
2016-05-29,PA,,,,,,,27.0,False,inmigrar+españa
2016-06-05,PA,,,,,,,24.0,False,inmigrar+españa
2016-06-12,PA,,,,,,,29.0,False,inmigrar+españa
2016-06-19,PA,,,,,,,28.0,False,inmigrar+españa
2016-06-26,PA,,,,,,,36.0,False,inmigrar+españa
2016-07-03,PA,,,,,,,23.0,False,inmigrar+españa
2016-07-10,PA,,,,,,,22.0,False,inmigrar+españa
2016-07-17,PA,,,,,,,22.0,False,inmigrar+españa
2016-07-24,PA,,,,,,,24.0,False,inmigrar+españa
2016-07-31,PA,,,,,,,23.0,False,inmigrar+españa
2016-08-07,PA,,,,,,,25.0,False,inmigrar+españa
2016-08-14,PA,,,,,,,29.0,False,inmigrar+españa
2016-08-21,PA,,,,,,,28.0,False,inmigrar+españa
2016-08-28,PA,,,,,,,31.0,False,inmigrar+españa
2016-09-04,PA,,,,,,,32.0,False,inmigrar+españa
2016-09-11,PA,,,,,,,25.0,False,inmigrar+españa
2016-09-18,PA,,,,,,,24.0,False,inmigrar+españa
2016-09-25,PA,,,,,,,30.0,False,inmigrar+españa
2016-10-02,PA,,,,,,,27.0,False,inmigrar+españa
2016-10-09,PA,,,,,,,26.0,False,inmigrar+españa
2016-10-16,PA,,,,,,,30.0,False,inmigrar+españa
2016-10-23,PA,,,,,,,34.0,False,inmigrar+españa
2016-10-30,PA,,,,,,,33.0,False,inmigrar+españa
2016-11-06,PA,,,,,,,28.0,False,inmigrar+españa
2016-11-13,PA,,,,,,,27.0,False,inmigrar+españa
2016-11-20,PA,,,,,,,27.0,False,inmigrar+españa
2016-11-27,PA,,,,,,,30.0,False,inmigrar+españa
2016-12-04,PA,,,,,,,26.0,False,inmigrar+españa
2016-12-11,PA,,,,,,,21.0,False,inmigrar+españa
2016-12-18,PA,,,,,,,27.0,False,inmigrar+españa
2016-12-25,PA,,,,,,,24.0,False,inmigrar+españa
2017-01-01,PA,,,,,,,25.0,False,inmigrar+españa
2017-01-08,PA,,,,,,,23.0,False,inmigrar+españa
2017-01-15,PA,,,,,,,24.0,False,inmigrar+españa
2017-01-22,PA,,,,,,,25.0,False,inmigrar+españa
2017-01-29,PA,,,,,,,24.0,False,inmigrar+españa
2017-02-05,PA,,,,,,,21.0,False,inmigrar+españa
2017-02-12,PA,,,,,,,25.0,False,inmigrar+españa
2017-02-19,PA,,,,,,,27.0,False,inmigrar+españa
2017-02-26,PA,,,,,,,21.0,False,inmigrar+españa
2017-03-05,PA,,,,,,,23.0,False,inmigrar+españa
2017-03-12,PA,,,,,,,24.0,False,inmigrar+españa
2017-03-19,PA,,,,,,,28.0,False,inmigrar+españa
2017-03-26,PA,,,,,,,24.0,False,inmigrar+españa
2017-04-02,PA,,,,,,,21.0,False,inmigrar+españa
2017-04-09,PA,,,,,,,26.0,False,inmigrar+españa
2017-04-16,PA,,,,,,,24.0,False,inmigrar+españa
2017-04-23,PA,,,,,,,26.0,False,inmigrar+españa
2017-04-30,PA,,,,,,,25.0,False,inmigrar+españa
2017-05-07,PA,,,,,,,26.0,False,inmigrar+españa
2017-05-14,PA,,,,,,,26.0,False,inmigrar+españa
2017-05-21,PA,,,,,,,25.0,False,inmigrar+españa
2017-05-28,PA,,,,,,,24.0,False,inmigrar+españa
2017-06-04,PA,,,,,,,35.0,False,inmigrar+españa
2017-06-11,PA,,,,,,,26.0,False,inmigrar+españa
2017-06-18,PA,,,,,,,29.0,False,inmigrar+españa
